account	userType	voiBalance	viaBalance
DELEGATEDW322SS7PBDKGZ6WCMU5NE2MC33KO4JX252SNUQNC7U5J5ZSOQ	snapshot	3660470071843	0
2G5PIXINGMWSLLK72VWQAR2WBBG2LCVACIIH4FCNSWXYWIOBAJGLUXLRKA	snapshot	5002100800	0
CH6UXSEYWZW2YPXM6EIHY2M4TGEALCYDF7WSKWOO5PJ4PN6CYYTTEZ3IVY	snapshot	0	200000000000000
G3MSA75OZEJTCCENOJDLDJK7UD7E2K5DNC7FVHCNOV7E3I4DTXTOWDUIFQ	snapshot	209279223333	157409098721123
QZMECVQU4K3TFBKUDOKCG6EQNRCIW75NHGYHSC2XFI6AFWF47SYNO3MDN4	snapshot	5000092000	151416500883422
R7TBR3Y5QCM6Y2OPQP3BPNUQG7TLN75IOC2WTNRUKO4VPNSDQF52MZB4ZE	snapshot	385218939839	150994527662019
KBISMS2R2JHEN7JHKGVTA3G57SBKZVMNNISKK6N4H6WADAAOZNEH5NWYD4	snapshot	0	150000000000000
HI4GEV4ZU32TGWUPKC5FKNCK6DZOLX2RRX4BVB3QG6WUHQ2UAS4GM3CN5U	snapshot	307952175000	125882750475000
UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U	snapshot	17244619742207	77110814658358
INTERNSYWPVN6HR3PCQQPGNUTXF4J3PMQWXROFMTXC65ORSODSHDOQZWPE	snapshot	17244619742207	67041757526470
URFANYZIZPZFOCPUE6PIRY3ZK7IHP5MRXZBTJ3I3YG526CQRVWEPITEQPM	snapshot	2000000	63941906676656
PAYRAWLB7KHKBUBAFIPPUB47Z3BS7QRVYWYUJMLKRJT7QCYKYLXMW653MM	snapshot	9908500	53750000000000
DIT3MNSV4QU7SMB7XBLTYWKOZTI3F5LT45FDSN63VTVBU7KGZDFLOZPRPI	snapshot	51132593816495	0
EM6YOBT4UOMEGWZO74OLOSA55V6EH6DUQSCAJA6FNMQ5IS5U3GZXBUR2OI	snapshot	6037848969497	44718937143311
VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM	snapshot	10000003746500	30000000000000
LLG4LGFISZLJ3QXLCZFY63DOIWKYSDJDEJKTQBFAASOGXXFEQQBIS7W6NM	snapshot	144967500	37109758455835
O7FC4I7PX57TSJBN5XOR7WJJNHD6XBMY5IDG32RBAFRLNXN5RISQR6X7AM	snapshot	40152700	36689089505856
XQBFLQHVKRCPVGDBVPMW5GKVSTH4B32UCGTAWYPXEBGNPLIFXO5RFSYVOI	snapshot	9934852342667	26587625415987
NGQDBWCPJIG7GEH5VOLMB4SHZMSVJAA5VXYAJV35QCRT5LSRYAIGVTAWRI	snapshot	1000000	36448985830868
THR5YY55H6VRJVMI5VECAIMNTCE36XCO44S2WIXNFDSRWSIHLXCGQ2H6UU	snapshot	2000000	34316290085522
F2FCCNTSRSK73HUJTUWSNHGFSJMZ3REYETHPJTPEZBTSPT4MA7LJ5RCPHA	snapshot	0	31922067181790
NORVOI324M6ME7ECXBOXAHWIYKV5EM335OGA7S6KVHBQFXXZ7FYVWIB2T4	snapshot	6838606074564	20788893276605
RWNOVLS5ZJM5GHM5WXIRMHG7NHXCYWLWYB5E4DTPILHQ7IIVNM5CVR4PVE	snapshot	991860133635	25488425182443
VOIAGERRJ3PEOLUX35M5LQ4RVVV3PUYJTJ663EARDQLHXJOZ7WNGG2KEIM	snapshot	972823010017	25502447731060
TNHCLNKYEGDUDD5XNICYCSTC5PMKS5EI2PBRCFJUESY732W5MC5FJQXT54	snapshot	1000097000	25394495460085
IDNS3P2CCLS2YTNKAQXVTWJSQ2XOH425BHXHMBNGNX4RTSBL6APEVK3Y6A	snapshot	10999000	23750000000000
TXGLT26EX2MHDTIECRQLZKJCQG47PGMSEJKADXCI6U7CMIXCTEGD2P2YNI	snapshot	10000000	23750000000000
